K,N,Delta_0 (MHz),sigma/Delta_0,trial,Gate Fidelity,min_distance
50,2,100,0.1,4,0.6383558890951994,20.309380289028752
50,2,50,0.1,3,0.5569605449011812,1.5156984006764134
50,4,50,0.05,4,0.5620786156436555,6.124954054075587
50,2,50,0.05,1,0.5728195425676073,2.0320466624273834
70,4,150,0.05,4,0.4927117393691826,42.36858887891589
50,2,100,0.02,2,0.7347486487058897,24.687352059273238
70,6,150,0.05,1,0.4791442966647584,37.81118073437416
70,4,150,0.05,3,0.6488956527027946,12.27534980823529
30,4,100,0.1,1,0.6491728111251,36.1861076875381
30,6,50,0.02,3,0.5515023903760174,1.0421184641491266
50,2,100,0.1,1,0.7077752282182624,140.49323237368702
30,2,50,0.1,1,0.7035955764393446,49.19273024360972
100,2,150,0.05,3,0.860388624468073,23.55712175744884
100,2,150,0.02,4,0.9330563246538728,28.36367576384228
100,4,50,0.1,3,0.5607444128259226,1.7738657708627343
100,4,100,0.1,2,0.6410777357497884,1.364051704034921
50,4,50,0.05,2,0.8636093798478586,12.650468978486344
100,4,50,0.05,3,0.7277666477576772,38.725424791581446
70,4,50,0.05,2,0.6492731875921659,2.6011926132889727
100,2,50,0.02,2,0.9054300243292698,80.07548974574397
30,4,100,0.05,4,0.5589010886036326,49.585528694670025
70,6,100,0.02,2,0.6165303046841457,3.5809864014040755
50,4,150,0.1,3,0.4910866520303655,39.085294507567724
100,2,100,0.02,1,0.9477756333078248,25.578930630185965
50,4,100,0.05,2,0.6279242582285981,29.885363693386864
70,4,150,0.02,1,0.6621497601358621,58.66928210044259
70,2,100,0.05,4,0.762056869361543,24.65498373243159
70,6,100,0.1,1,0.5508385593128876,58.17688038366735
100,6,50,0.1,2,0.5120844394361684,26.478732760201865
70,4,50,0.05,1,0.5186470326639454,18.131331117289736
50,6,50,0.02,1,0.5731635785430725,4.358135163808477
30,2,100,0.1,3,0.6144394276764596,63.5090738579147
70,6,150,0.05,2,0.6214295482954592,30.575049651668337
30,4,100,0.1,4,0.5074564096287606,32.4518730182032
50,2,150,0.02,1,0.771616273822222,50.17175065517236
50,4,150,0.05,1,0.6605916770103013,3.716025091460068
70,4,150,0.05,1,0.6710206209276771,1.6551920206546527
30,4,50,0.02,3,0.5492563702738501,16.179366971883404
100,6,150,0.1,4,0.4816251060263256,2.170465192845981
50,4,150,0.05,3,0.3602700891577112,15.066741623298796
70,4,100,0.02,3,0.4831037190355974,15.826657508713808
70,6,50,0.1,4,0.5350582118318642,0.10125178977326499
30,4,50,0.02,4,0.6615318491272008,13.950768427649141
70,2,150,0.05,4,0.8162313040161664,53.76700941096527
30,4,100,0.02,3,0.5891011657379468,9.897168621823454
50,2,50,0.02,3,0.746934393907978,39.39469944343617
70,2,50,0.02,4,0.935121297255318,48.18278450577839
30,4,100,0.05,2,0.4840505302629385,6.236731511188779
100,2,150,0.1,1,0.8345886096914937,38.589829554940906
30,6,150,0.1,4,0.4931241137553367,13.946880126475719
100,4,100,0.02,2,0.741727799452331,3.2176609296709557
100,4,50,0.05,2,0.7639494651351406,12.671835929288648
50,6,150,0.02,3,0.7046056269641625,5.876165404472658
70,2,50,0.02,3,0.8467362877267358,2.476027891839493
30,4,150,0.1,1,0.559395154767045,39.57057925178283
100,6,100,0.05,2,0.607321646228812,50.48260345450808
70,2,150,0.05,3,0.5537731788213098,3.2930817798471423
100,4,150,0.05,2,0.8080705913895314,68.36252777791583
70,4,50,0.1,1,0.643182948048628,23.875601927766457
50,2,50,0.02,4,0.6226015943723426,13.133134087521
50,4,50,0.02,1,0.4780904095933437,16.82708705718368
50,6,150,0.1,1,0.5596554866288286,5.417340540999589
50,2,50,0.1,1,0.4779201252622783,15.432663003686507
70,4,50,0.1,3,0.5476349896346275,6.110584777726558
70,6,150,0.02,4,0.6043006093508297,7.242058776934044
70,4,100,0.02,4,0.7326360798989183,127.10656482941495
70,6,150,0.05,3,0.5555759847164012,13.83665637431018
70,4,50,0.05,4,0.744856205609299,57.20169030854743
30,6,150,0.05,3,0.4069801386667669,24.168406580671572
100,6,50,0.02,4,0.6613533760956083,3.2641461650957027
50,6,100,0.05,3,0.6460572542847003,0.9475731726037697
100,2,150,0.1,4,0.8037835127731762,27.65192035289496
30,6,100,0.02,3,0.5164511937032388,46.12565374336785
