Omega_max (MHz),K,nn_steps,final_eval_loss,best_eval_loss,avg_gate_fidelity,std_gate_fidelity,avg_runtime_us,std_runtime_us,avg_runtime_per_pi_pulse
160,50,10000,,,0.9594919380637839,0.01303249391191134,0.10360572484585272,0.0023345650204288173,33.15383195067287
160,70,10000,,,0.9651580665301585,0.010228167038096182,0.13461333424949679,0.0011363586157012817,43.07626695983897
160,100,10000,,,0.9689048899721733,0.008530994536066197,0.21246980533806598,0.002796222571287803,67.9903377081811
40,50,10000,,,0.8510196783522836,0.0412072639231232,0.2029207750386498,0.0055057377591930835,16.233662003091982
40,70,10000,,,0.8629575710742127,0.03228284589853307,0.30180433111712346,0.00527394677309185,24.144346489369877
40,100,10000,,,0.8912596966703041,0.0267217191033427,0.4766576755844273,0.003247799124401986,38.13261404675418
80,50,10000,,,0.9408594726037882,0.02052578279445507,0.12879498036376202,0.003158762712202684,20.607196858201924
80,70,10000,,,0.9541527484503559,0.01637604303611974,0.19403100166291387,0.005547058784681905,31.04496026606622
80,100,10000,,,0.9431039169304485,0.01753077352461028,0.30175315823410154,0.0026918060400124306,48.280505317456246
120,50,10000,,,0.9555259920016489,0.01167143022754044,0.11168367278747605,0.0016768249632782776,26.804081468994255
120,70,10000,,,0.9753955279587128,0.009250256291675652,0.15191791073051672,0.002543592920215262,36.46029857532401
120,100,10000,,,0.9715615462294656,0.00998572838255081,0.2580250884076043,0.0019708255251383072,61.92602121782503
