t (us),H_x (2pi MHz),H_z (2pi MHz)
0.001183526584539423,80.0,0.0
0.0025,0.0,50.0
0.0002842794801784558,80.0,0.0
0.0025,0.0,50.0
0.0003519754533722521,-80.0,0.0
0.0025,0.0,50.0
0.00039196932806863876,80.0,0.0
0.0025,0.0,50.0
0.0002129331238931077,80.0,0.0
0.0025,0.0,50.0
0.0012584693083274809,80.0,0.0
0.0025,0.0,50.0
0.0007630297038232028,-80.0,0.0
0.0025,0.0,50.0
0.0010174765081448869,-80.0,0.0
0.0025,0.0,50.0
0.0001932715500339666,80.0,0.0
0.0025,0.0,50.0
0.00010206869282788672,80.0,0.0
0.0025,0.0,50.0
0.0015018238031299805,80.0,0.0
0.0025,0.0,50.0
0.00048399444308788194,-80.0,0.0
0.0025,0.0,50.0
6.165639644766739e-05,80.0,0.0
0.0025,0.0,50.0
8.768502072386464e-05,-80.0,0.0
0.0025,0.0,50.0
0.0006564533994886315,-80.0,0.0
0.0025,0.0,50.0
0.0005050218640140591,-80.0,0.0
0.0025,0.0,50.0
0.0010799282368746442,-80.0,0.0
0.0025,0.0,50.0
0.0011757493879781008,80.0,0.0
0.0025,0.0,50.0
0.0012931158577850971,-80.0,0.0
0.0025,0.0,50.0
0.0011518160703387567,-80.0,0.0
0.0025,0.0,50.0
0.0006821590045068895,80.0,0.0
0.0025,0.0,50.0
0.0017015964659327677,80.0,0.0
0.0025,0.0,50.0
0.005275890265749329,80.0,0.0
0.0025,0.0,50.0
0.0002556018453117262,-80.0,0.0
0.0025,0.0,50.0
0.0007225932334174681,80.0,0.0
0.0025,0.0,50.0
0.0012425766607629177,80.0,0.0
0.0025,0.0,50.0
0.0007771137636185397,80.0,0.0
0.0025,0.0,50.0
0.0009337398080772592,80.0,0.0
0.0025,0.0,50.0
0.00010074753268706089,80.0,0.0
0.0025,0.0,50.0
0.0007318988442848001,80.0,0.0
0.0025,0.0,50.0
0.0015369322963055385,80.0,0.0
