t (us),H_x (2pi MHz),H_z (2pi MHz)
0.001980107650247726,-80.0,0.0
0.0008333333333333334,0.0,150.0
0.0016361578335549107,80.0,0.0
0.0008333333333333334,0.0,150.0
0.0006820366695952982,80.0,0.0
0.0008333333333333334,0.0,150.0
0.00036712276965631676,-80.0,0.0
0.0008333333333333334,0.0,150.0
0.001033457093019491,80.0,0.0
0.0008333333333333334,0.0,150.0
0.0007441532826324712,80.0,0.0
0.0008333333333333334,0.0,150.0
0.0013388885599092376,-80.0,0.0
0.0008333333333333334,0.0,150.0
0.0014346365113604078,-80.0,0.0
0.0008333333333333334,0.0,150.0
0.0012679158861396535,-80.0,0.0
0.0008333333333333334,0.0,150.0
0.0015427536302626904,-80.0,0.0
0.0008333333333333334,0.0,150.0
0.000862642795263529,80.0,0.0
0.0008333333333333334,0.0,150.0
0.0013569702259226281,80.0,0.0
0.0008333333333333334,0.0,150.0
0.0005152603940444916,80.0,0.0
0.0008333333333333334,0.0,150.0
0.00024808513465476894,80.0,0.0
0.0008333333333333334,0.0,150.0
0.0010092767007122824,80.0,0.0
0.0008333333333333334,0.0,150.0
5.123275907278959e-05,-80.0,0.0
0.0008333333333333334,0.0,150.0
0.004012354032662372,-80.0,0.0
0.0008333333333333334,0.0,150.0
0.0002795539579112669,-80.0,0.0
0.0008333333333333334,0.0,150.0
0.0014306555961467683,80.0,0.0
0.0008333333333333334,0.0,150.0
0.0010745615097837687,80.0,0.0
0.0008333333333333334,0.0,150.0
1.0497251198982115e-05,80.0,0.0
0.0008333333333333334,0.0,150.0
0.00042603546282409113,80.0,0.0
0.0008333333333333334,0.0,150.0
0.0009433640209354146,-80.0,0.0
0.0008333333333333334,0.0,150.0
0.0004899572544885421,-80.0,0.0
0.0008333333333333334,0.0,150.0
0.0008334760766656453,80.0,0.0
0.0008333333333333334,0.0,150.0
0.0006358952691797448,80.0,0.0
0.0008333333333333334,0.0,150.0
0.0016950852970755725,80.0,0.0
0.0008333333333333334,0.0,150.0
0.0015629735180436592,80.0,0.0
0.0008333333333333334,0.0,150.0
0.0001421720319062641,80.0,0.0
0.0008333333333333334,0.0,150.0
0.002076129580435247,-80.0,0.0
0.0008333333333333334,0.0,150.0
0.002530824021319503,-80.0,0.0
